epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.371,0.85148,0.5227,1.09541,0.94622,0.9667,0.98642,0.82249,0.65066,0.43771,0.97713,0.001307,0.001307,0.001307
44,114.578,0.88393,0.53862,1.1081,0.97083,0.95092,0.98721,0.82848,0.64708,0.43049,0.97173,0.0012905,0.0012905,0.0012905
45,116.737,0.86834,0.53285,1.10185,0.96087,0.97157,0.98712,0.80429,0.75162,0.44123,0.98002,0.001274,0.001274,0.001274
46,118.895,0.84561,0.51028,1.09077,0.96037,0.96703,0.98629,0.81647,0.69668,0.4276,0.96318,0.0012575,0.0012575,0.0012575
47,121.071,0.80036,0.48808,1.0662,0.96326,0.97954,0.98613,0.7935,0.78012,0.43529,0.99551,0.001241,0.001241,0.001241
48,123.917,0.82906,0.50741,1.08293,0.96271,0.96449,0.98376,0.76042,0.89262,0.48886,1.01692,0.0012245,0.0012245,0.0012245
49,126.706,0.8033,0.50237,1.07713,0.95743,0.98901,0.98846,0.83326,0.64625,0.42346,0.96732,0.001208,0.001208,0.001208
50,128.92,0.80118,0.49288,1.06774,0.9646,0.97802,0.9869,0.81758,0.6937,0.43109,0.97342,0.0011915,0.0011915,0.0011915
51,131.125,0.8103,0.4801,1.07254,0.97951,0.96264,0.9876,0.7823,0.81457,0.43084,1.00089,0.001175,0.001175,0.001175
52,133.337,0.8125,0.48499,1.07528,0.97487,0.96264,0.98671,0.84726,0.59765,0.38766,0.96411,0.0011585,0.0011585,0.0011585
53,135.522,0.78852,0.48866,1.0655,0.96926,0.96923,0.98961,0.84565,0.60862,0.38866,0.95165,0.001142,0.001142,0.001142
54,138.886,0.7928,0.4838,1.07225,0.98003,0.9706,0.98869,0.80764,0.74845,0.41718,0.98069,0.0011255,0.0011255,0.0011255
55,141.138,0.8087,0.47746,1.07019,0.97561,0.96718,0.98683,0.85339,0.57768,0.38463,0.96476,0.001109,0.001109,0.001109
56,143.341,0.78497,0.46967,1.06215,0.97151,0.96703,0.98682,0.8567,0.58297,0.38817,0.9432,0.0010925,0.0010925,0.0010925
57,145.749,0.79303,0.47213,1.07563,0.96513,0.9734,0.98752,0.84189,0.62428,0.39097,0.93025,0.001076,0.001076,0.001076
58,148.055,0.79529,0.4844,1.05753,0.98051,0.96484,0.98721,0.86194,0.55836,0.38369,0.93762,0.0010595,0.0010595,0.0010595
59,151.108,0.79049,0.47937,1.0558,0.97323,0.95604,0.98459,0.8433,0.59648,0.41763,0.94298,0.001043,0.001043,0.001043
60,153.796,0.80102,0.48219,1.06955,0.96919,0.96779,0.9868,0.86031,0.55773,0.3899,0.94913,0.0010265,0.0010265,0.0010265
61,156.072,0.77177,0.47105,1.04814,0.96773,0.96923,0.9884,0.83997,0.61599,0.39388,0.95724,0.00101,0.00101,0.00101
62,158.42,0.7811,0.46224,1.05617,0.97268,0.96264,0.98583,0.82503,0.65353,0.39556,0.97263,0.0009935,0.0009935,0.0009935
63,160.962,0.75886,0.45759,1.05212,0.97148,0.97321,0.98794,0.84197,0.61065,0.39228,0.96073,0.000977,0.000977,0.000977
64,163.789,0.76984,0.46294,1.06354,0.96722,0.97288,0.98895,0.84469,0.6254,0.37554,0.95691,0.0009605,0.0009605,0.0009605
65,166.804,0.74816,0.46732,1.04628,0.96931,0.97177,0.98762,0.83951,0.6378,0.37958,0.94849,0.000944,0.000944,0.000944
66,169.112,0.76829,0.46399,1.06447,0.97572,0.96484,0.98759,0.83004,0.68474,0.3896,0.95456,0.0009275,0.0009275,0.0009275
67,171.415,0.74975,0.46188,1.05349,0.96897,0.96703,0.98615,0.85726,0.57414,0.36839,0.92281,0.000911,0.000911,0.000911
68,173.766,0.74857,0.44786,1.04117,0.97775,0.96594,0.98794,0.86889,0.532,0.36104,0.93388,0.0008945,0.0008945,0.0008945
69,176.071,0.7716,0.45394,1.05093,0.97706,0.96484,0.98855,0.85289,0.57476,0.37334,0.9452,0.000878,0.000878,0.000878
70,179.653,0.76652,0.45111,1.05403,0.97149,0.97348,0.98722,0.87633,0.52314,0.35222,0.92706,0.0008615,0.0008615,0.0008615
71,182.058,0.75032,0.44036,1.04671,0.97762,0.96923,0.9874,0.85038,0.60737,0.3777,0.9318,0.000845,0.000845,0.000845
72,184.339,0.7445,0.43986,1.04787,0.97605,0.96923,0.98611,0.86844,0.54678,0.3646,0.92192,0.0008285,0.0008285,0.0008285
73,186.581,0.73911,0.44612,1.04758,0.97741,0.96703,0.9862,0.87487,0.52626,0.36308,0.92715,0.000812,0.000812,0.000812
74,188.829,0.71702,0.43352,1.03062,0.96846,0.95824,0.98768,0.86905,0.55018,0.36146,0.92898,0.0007955,0.0007955,0.0007955
75,191.947,0.74794,0.44126,1.03825,0.93699,0.94787,0.98191,0.84913,0.57464,0.40698,0.96778,0.000779,0.000779,0.000779
76,194.774,0.74872,0.43225,1.03702,0.95212,0.96145,0.98219,0.84767,0.5593,0.41243,0.97791,0.0007625,0.0007625,0.0007625
77,197.024,0.71731,0.43551,1.03457,0.97334,0.96703,0.98886,0.86567,0.53898,0.35984,0.96338,0.000746,0.000746,0.000746
78,199.261,0.74423,0.43487,1.04427,0.97729,0.96264,0.98808,0.87775,0.51756,0.34324,0.94754,0.0007295,0.0007295,0.0007295
79,201.49,0.7101,0.42234,1.0326,0.97121,0.96386,0.98671,0.86413,0.55801,0.34827,0.94472,0.000713,0.000713,0.000713
80,203.966,0.72358,0.4252,1.02993,0.96276,0.96596,0.98903,0.87431,0.52461,0.34961,0.94419,0.0006965,0.0006965,0.0006965
81,207.362,0.73581,0.43193,1.03295,0.97781,0.96838,0.9864,0.86613,0.54035,0.35129,0.95103,0.00068,0.00068,0.00068
82,209.612,0.71153,0.42478,1.03362,0.97154,0.97533,0.98925,0.88215,0.50852,0.32962,0.93485,0.0006635,0.0006635,0.0006635
83,211.899,0.7177,0.43143,1.03654,0.97112,0.97582,0.99023,0.89024,0.49013,0.3264,0.9287,0.000647,0.000647,0.000647
84,214.247,0.70327,0.42619,1.02856,0.95718,0.98264,0.98964,0.88226,0.51594,0.3348,0.92897,0.0006305,0.0006305,0.0006305
85,216.488,0.73104,0.43329,1.04307,0.97165,0.9793,0.98767,0.87627,0.51122,0.33263,0.92837,0.000614,0.000614,0.000614
86,219.781,0.70437,0.41841,1.04217,0.97149,0.97351,0.98816,0.87639,0.51333,0.332,0.93353,0.0005975,0.0005975,0.0005975
87,222.219,0.69906,0.41191,1.0278,0.97341,0.96555,0.99032,0.8832,0.50735,0.3241,0.935,0.000581,0.000581,0.000581
88,224.426,0.72548,0.42364,1.04414,0.97049,0.96703,0.98984,0.88145,0.50077,0.32659,0.93783,0.0005645,0.0005645,0.0005645
89,226.614,0.69447,0.41755,1.02617,0.97301,0.96923,0.98985,0.88262,0.51299,0.32877,0.94729,0.000548,0.000548,0.000548
90,228.807,0.69211,0.40977,1.0136,0.97362,0.96923,0.99044,0.87357,0.53903,0.33442,0.93995,0.0005315,0.0005315,0.0005315
91,231.375,0.70001,0.41454,1.0204,0.96542,0.98165,0.98798,0.87283,0.52696,0.33011,0.94464,0.000515,0.000515,0.000515
92,234.482,0.70212,0.40668,1.02185,0.96104,0.97575,0.98608,0.86886,0.52743,0.34955,0.96627,0.0004985,0.0004985,0.0004985
93,236.767,0.71541,0.4128,1.02685,0.96716,0.96923,0.9871,0.85746,0.56329,0.35719,0.95707,0.000482,0.000482,0.000482
94,239.008,0.70593,0.41759,1.03198,0.95862,0.97582,0.98867,0.87776,0.51408,0.33149,0.95222,0.0004655,0.0004655,0.0004655
95,241.252,0.6839,0.40272,1.02135,0.98153,0.96264,0.98865,0.88489,0.50064,0.32142,0.95098,0.000449,0.000449,0.000449
96,243.461,0.68806,0.40239,1.01715,0.9639,0.97582,0.98887,0.88388,0.49955,0.31946,0.94079,0.0004325,0.0004325,0.0004325
97,246.62,0.69455,0.40126,1.02909,0.96583,0.98022,0.98915,0.88299,0.51776,0.32076,0.93637,0.000416,0.000416,0.000416
